"Data Source","World Development Indicators",

"Last Updated Date","2017-05-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24508591166203","7.81443171889218","6.66662183020206","1.15446939174406","4.51406203251221","-0.364695778713454","-2.16445940890385","0.465289865491144","7.51947237328494","1.17669048367502","0.380390971382511","2.35511944298051","-3.65462624193272","-6.88130206359888","-5.65350208612952","","","","","","","",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.44416322679218","1.05555578746555","11.1752702416587","5.55413762257501","13.7402049898513","3.61136839226168","21.0206487363678","8.43329048161792","6.11368516942299","14.4347412879524","1.95912289275337","1.31253090764642","0.84071852799228","",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","2.80000000794205","7.90000000367507","5.59999998070748","0.400000018928679","-0.300000018689033","-1.19999998948089","-6.90000000175168","-24.6999999862023","3.49999998931119","10.4000000186697","11.1999999665668","7.90000000976701","6.8047621164026","3.23979967059962","3.01207617104589","4.22096514726003","-6.94046155293243","5.24749454056162","10.8795774758584","18.2614503245644","20.7351248827892","22.5930542991417","13.8171458087553","2.41286969254453","3.40765479391563","3.91859698579799","5.15544054479086","6.81358576983935","4.80447270408375","3.00698054504154","",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563526610041","2.94859680232911","1.10493826600218","-1.25159664394278","1.78064395791648","5.63724319559962","-0.78784264870842","-1.42003967816675","9.83654899260358","-9.57564018741695","-29.5889976817695","-7.19999998650893","9.60000001192878","8.29999999672621","13.2999999863389","9.09999999999984","-10.8378557343801","9.00885253954446","13.501173375611","6.66662051466618","7.94033142118306","4.23137101197186","5.77349056968094","5.70955658121406","5.72081995256856","5.43101273397926","5.90000000867104","7.52999998948079","3.35000000887302","3.70999999380066","2.55000000544001","1.41999999814648","1.10999999256572","1.79999999809164","2.80000000053559","",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64946536081882","8.14974348860618","7.78846720294044","5.61878972962946","0.542205658763706","3.30378704950753","2.83857556610091","1.46300017893419","0.0415571951292861","2.20872760693054","-0.132474511474584","1.24646111342553","1.7701183169325","1.78468669356819","2.32143303219918","3.2533217783064","5.54712217053806","5.09432620323219","4.82703424406914","3.7813875896292","2.54600287187638","0.929211956288896","-1.0314840109579","2.38318769098804","2.7574991873297","4.6497401487506","9.06767219910516","3.19479029605851","4.09908083663409","1.16578707933228","6.06678059681872","6.42684513850158","12.0239197396079","8.06950429074125","7.83970449604648","4.58531059335638","0.0780393779025417","-8.59425600818136","-3.81798602402675","-5.34797718118854","-4.80267503725287","-1.76001032768896","-0.0635143126218196","","","",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","12.8965097523571","8.64899654339375","1.90986284110612","10.5868992679603","10.0742085177463","3.97704694717913","-3.11074874273031","-2.7866280224589","1.70530866027518","-0.53220697098169","0.468944489377819","0.604777826408593","3.77833297132064","2.41108373551644","10.785729821363","-1.187286599917","5.09717836515379","4.04948673324689","3.43726280092764","2.92541214134079","4.8584087787567","4.85762421681481","5.28229459951442","3.04636189856265","5.13250881224093","2.20027043682191","1.49914766972255","4.23353517255669","9.71408369446503","6.15249626673362","7.31207612002311","5.6481918607477","6.29852485925359","1.51260662865842","4.68315002925344","3.37363289593384","5.43291921666982","3.44341426387882","2.74839621719327","3.18404647012349","",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.5268564875281","21.4393301622723","-1.58960330014777","20.9235730764525","23.8747748930488","4.65917666988996","-6.7193161877593","-4.74582069446204","4.0169512859422","-3.59447652685392","-14.9581365517104","3.38198171435916","-2.61890771950277","12.3378912971253","18.3279855121011","0.860081944630537","3.34494487252302","1.2611909522048","6.89614854507168","6.68788647127094","5.79840405138742","8.19039865220306","0.291994343877917","2.90221364978895","10.8527042037786","1.39908502781832","2.43345681395483","8.80054081702856","9.56643664256454","4.8551411953047","9.8373197726593","3.18439017418304","3.1918362705963","-5.24292190590633","1.63544905517254","5.2077989108447","6.79262162822587","4.72889729346413","3.07988433054452","3.75764285270105","",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287951248","-0.852021523482009","-5.30819682651725","10.1302976614338","10.5694333403428","-0.659726171593704","3.1919966233703","4.82250078158644","9.67952600806899","3.04564331900328","5.65813108318036","1.62841651625511","2.81175404095775","5.5338043948322","-0.0284121027670778","-2.01825151667566","6.93414775537975","-4.50612480247695","10.2227634648727","4.15176234244557","-5.68952800019454","-4.95717851904021","3.87512342400915","2.21177350377243","-7.58667718413531","7.87577983041486","2.90999313057101","-2.55690487694625","-7.49618958372476","-2.39895921890088","12.6697100915969","11.9407747322281","5.90691949180228","5.83620070368526","-2.84520961057079","5.52668982715234","8.1110467707457","3.85017885156228","-3.38545704063269","-0.78899893905691","-4.40883968258557","-10.8944848285903","8.83704079576924","9.02957330210756","8.85165991941442","8.04715150365763","9.00765087916513","4.05723310237892","-5.91852508035115","10.1253981606364","6.00395168927028","-1.02642046307619","2.40532378717022","-2.51261532628018","2.64727141904568","",
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6999984817524","-41.8000027485614","-8.79999879239085","5.40000279013701","6.89999840719999","5.86540074820616","3.32107969582276","7.3","3.30000000000001","5.89999999999978","9.55664149553445","13.186300532067","14.0407950559649","10.4678418639969","13.8657112498155","13.1980035154758","13.7492019586216","6.90000000168239","-14.149988640087","2.1999999991457","4.69999999861844","7.20000000328227","3.30000000179984","3.60000000000002","2.99999999999983","",
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.814111261872455","0.538358008075377","-0.401606425702823","-4.16666666666666","1.96353436185133","-2.61348005502063","-4.23728813559322","0.442477876106182","0.293685756240819","-4.39238653001463","-3.21592649310874","1.4240506329114","1.09204368174727","",
